,Words,Unista,JYGA,MG_Tech,Sidel,Total
344,temps,3.0,15.0,11.0,51.0,80.0
345,rouge,1.0,1.0,0.0,1.0,3.0
346,lèvr,1.0,0.0,0.0,0.0,1.0
347,eyeliner,1.0,0.0,0.0,0.0,1.0
348,emballag,2.0,1.0,0.0,4.0,7.0
349,permettent,2.0,16.0,5.0,10.0,33.0
350,choisissez,1.0,0.0,0.0,1.0,2.0
351,plateau,4.0,9.0,0.0,0.0,13.0
352,ordinateur,1.0,1.0,0.0,3.0,5.0
353,commande,1.0,4.0,4.0,11.0,20.0
354,insérez,1.0,0.0,0.0,0.0,1.0
355,palette,3.0,124.0,5.0,19.0,151.0
356,complets,1.0,0.0,0.0,0.0,1.0
357,station,3.0,1.0,1.0,0.0,5.0
358,chargement,1.0,67.0,7.0,2.0,77.0
359,rien,2.0,0.0,1.0,1.0,4.0
360,structure,1.0,1.0,2.0,4.0,8.0
361,varier,1.0,25.0,2.0,4.0,32.0
362,selon,1.0,30.0,7.0,37.0,75.0
363,besoin,9.0,60.0,38.0,111.0,218.0
364,principe,1.0,5.0,0.0,5.0,11.0
365,reste,1.0,1.0,0.0,8.0,10.0
366,premier,3.0,9.0,3.0,82.0,97.0
367,déplacer,3.0,3.0,1.0,0.0,7.0
368,opération,2.0,4.0,17.0,30.0,53.0
369,décharge,1.0,0.0,0.0,0.0,1.0
370,vide,1.0,30.0,5.0,3.0,39.0
371,prendre,4.0,18.0,7.0,41.0,70.0
372,remplacer,1.0,5.0,1.0,6.0,13.0
373,autre,7.0,21.0,13.0,65.0,106.0
374,procéder,1.0,1.0,0.0,7.0,9.0
375,structur,4.0,2.0,2.0,4.0,12.0
376,nécessit,3.0,1.0,1.0,9.0,14.0
377,avance,1.0,2.0,0.0,7.0,10.0
378,ainsi,14.0,23.0,22.0,123.0,182.0
379,maintenon,1.0,0.0,0.0,1.0,2.0
380,accompagner,5.0,1.0,15.0,10.0,31.0
381,encaisseus,5.0,143.0,9.0,5.0,162.0
